Song Title,Artist,Key ,BPM,Duration,Danceability
Axel F,Crazy Frog,D Major,138,2:49,86
Mikrofonkat,September,F Major,130,2:46,67
Rabiosa,Shakira,C Major,133,2:45,83
Coming Home,Skylar,E Major,130,2:15,57
Celos,Fanny,D Major,132,2:54,91
EI Anillo,Jennifer L,D Minor,130,2:57,87
Rave in the Grave,AronChupa,B Minor,132,2:43,76
Up & Down,Marnik,C Minor,138,2:45,76
Disco Pogo,Die Atzen,F# Minor,132,2:25,61
How Do you Do,Crazy Frog,C Minor,135,2:25,80
She Makes Me Go,Arash,D Minor,133,2:59,71
DotA,Basshunter,C Major,140,2:59,39
What Is Love,Haddaway,G Minor,138,2:56,62
PopCorn,Crazy Frog,E Minor ,132,2:45,70
I Miss The Old You,Blackbear,G Major,133,3:31,72
Mr Loverman,Ricky M,C Major,130,3:37,64
44 More,Logic,B Minor,140,3:09,82
That Way,Lil Uzi,G Minor,130,3:52,71
Drew Barrymore,Sza,C Minor,135,3:29,58
Hot Rod,Dayglow,G Major,140,3:24,71
In My Mind,Lyn Lapid,D Minor,136,2:43,67
Can't Lie,Ali Gatie,G Major,132,3:15,80
Nothing,Bruno Major,D Major,140,2:43,56
Wandered To LA,Justin Bieber,C Major,135,3:09,69
Falling For You With Justin Bieber,Jaden,E Major,130,3:45,69
Party Girl,StaySolidRocky,F# Minor,130,2:28,73
Torero,Chayanne,A Minor,136,3:39,70
Armed And Dangerous,Juice WRLD,B Minor,130,2:50,74
Chamber Of Reflection,Mac DeMarco,B Major,131,3:52,54
Beside You,Keshi,C Major,136,2:46,71
